,room,roomSec,cat,max,min,max_in_range,min_in_range
0,413,0,co2,768.0,415.0,0,0
1,413,0,Humidity,54.45,42.38,0,0
2,413,0,Light,333.0,0.0,0,0
3,413,0,Pir,30.0,0.0,0,0
4,413,0,Temperature,25.65,22.63,0,0
5,415,1,co2,1235.0,429.0,0,0
6,415,1,Humidity,62.6,50.74,0,0
7,415,1,Light,213.0,0.0,0,0
8,415,1,Pir,34456.0,0.0,1,0
9,415,1,Temperature,24.87,22.28,0,0
10,417,2,co2,491.0,318.0,0,0
11,417,2,Humidity,61.76,50.39,0,0
12,417,2,Light,168.0,0.0,0,0
13,417,2,Pir,30.0,0.0,0,0
14,417,2,Temperature,24.92,22.48,0,0
15,419,3,co2,1093.0,407.0,0,0
16,419,3,Humidity,63.44,51.47,0,0
17,419,3,Light,388.0,0.0,0,0
18,419,3,Pir,30.0,0.0,0,0
19,419,3,Temperature,579.27,21.77,1,0
20,421,4,co2,832.0,288.0,0,0
21,421,4,Humidity,63.08,50.83,0,0
22,421,4,Light,449.0,11.0,0,0
23,421,4,Pir,30.0,0.0,0,0
24,421,4,Temperature,24.54,21.96,0,0
25,422,5,co2,709.0,370.0,0,0
26,422,5,Humidity,63.02,50.77,0,0
27,422,5,Light,452.0,0.0,0,0
28,422,5,Pir,30.0,0.0,0,0
29,422,5,Temperature,24.68,22.21,0,0
30,423,6,co2,836.0,315.0,0,0
31,423,6,Humidity,60.92,47.47,0,0
32,423,6,Light,63.0,0.0,0,0
33,423,6,Pir,30.0,0.0,0,0
34,423,6,Temperature,24.69,22.56,0,0
35,424,7,co2,602.0,354.0,0,0
36,424,7,Humidity,59.98,47.6,0,0
37,424,7,Light,16.0,0.0,0,0
38,424,7,Pir,30.0,0.0,0,0
39,424,7,Temperature,24.82,23.03,0,0
40,442,8,co2,1073.0,411.0,0,0
41,442,8,Humidity,59.28,47.21,0,0
42,442,8,Light,55.0,0.0,0,0
43,442,8,Pir,30.0,0.0,0,0
44,442,8,Temperature,25.33,23.28,0,0
45,446,9,co2,652.0,435.0,0,0
46,446,9,Humidity,62.75,49.87,0,0
47,446,9,Light,80.0,0.0,0,0
48,446,9,Pir,30.0,0.0,0,0
49,446,9,Temperature,579.27,22.32,1,0
50,448,10,co2,514.0,338.0,0,0
51,448,10,Humidity,61.67,50.26,0,0
52,448,10,Light,76.0,0.0,0,0
53,448,10,Pir,30.0,0.0,0,0
54,448,10,Temperature,23.71,22.87,0,0
55,452,11,co2,494.0,315.0,0,0
56,452,11,Humidity,55.01,45.34,0,0
57,452,11,Light,51.0,0.0,0,0
58,452,11,Pir,30.0,0.0,0,0
59,452,11,Temperature,23.56,22.64,0,0
60,454,12,co2,464.0,295.0,0,0
61,454,12,Humidity,62.21,51.35,0,0
62,454,12,Light,66.0,0.0,0,0
63,454,12,Pir,0.0,0.0,0,0
64,454,12,Temperature,23.59,22.63,0,0
65,456,13,co2,769.0,371.0,0,0
66,456,13,Humidity,61.13,48.55,0,0
67,456,13,Light,60.0,0.0,0,0
68,456,13,Pir,30.0,0.0,0,0
69,456,13,Temperature,24.73,22.97,0,0
70,458,14,co2,713.0,406.0,0,0
71,458,14,Humidity,71.91,52.27,0,0
72,458,14,Light,68.0,0.0,0,0
73,458,14,Pir,30.0,0.0,0,0
74,458,14,Temperature,23.11,20.23,0,0
75,462,15,co2,588.0,391.0,0,0
76,462,15,Humidity,66.12,53.19,0,0
77,462,15,Light,53.0,0.0,0,0
78,462,15,Pir,30.0,0.0,0,0
79,462,15,Temperature,22.8,21.11,0,0
80,510,16,co2,601.0,263.0,0,0
81,510,16,Humidity,67.0,45.64,0,0
82,510,16,Light,869.0,0.0,0,0
83,510,16,Pir,30.0,0.0,0,0
84,510,16,Temperature,26.89,21.36,0,0
85,511,17,co2,457.0,312.0,0,0
86,511,17,Humidity,68.56,51.09,0,0
87,511,17,Light,1189.0,0.0,0,0
88,511,17,Pir,30.0,0.0,0,0
89,511,17,Temperature,23.45,20.8,0,0
90,513,18,co2,732.0,276.0,0,0
91,513,18,Humidity,67.52,52.11,0,0
92,513,18,Light,26.0,0.0,0,0
93,513,18,Pir,30.0,0.0,0,0
94,513,18,Temperature,572.59,21.48,1,0
95,552,19,co2,1159.0,327.0,0,0
96,552,19,Humidity,62.87,51.67,0,0
97,552,19,Light,45.0,0.0,0,0
98,552,19,Pir,30.0,0.0,0,0
99,552,19,Temperature,24.77,22.27,0,0
100,554,20,co2,1699.0,389.0,1,0
101,554,20,Humidity,62.0,49.61,0,0
102,554,20,Light,73.0,0.0,0,0
103,554,20,Pir,30.0,0.0,0,0
104,554,20,Temperature,24.83,22.1,0,0
105,556,21,co2,868.0,389.0,0,0
106,556,21,Humidity,61.13,49.03,0,0
107,556,21,Light,47.0,0.0,0,0
108,556,21,Pir,30.0,0.0,0,0
109,556,21,Temperature,24.54,22.48,0,0
110,558,22,co2,545.0,347.0,0,0
111,558,22,Humidity,65.54,52.27,0,0
112,558,22,Light,54.0,0.0,0,0
113,558,22,Pir,30.0,0.0,0,0
114,558,22,Temperature,23.61,21.86,0,0
115,562,23,co2,620.0,8.0,0,0
116,562,23,Humidity,64.42,52.37,0,0
117,562,23,Light,54.0,0.0,0,0
118,562,23,Pir,30.0,0.0,0,0
119,562,23,Temperature,579.27,21.63,1,0
120,564,24,co2,754.0,238.0,0,0
121,564,24,Humidity,63.53,49.87,0,0
122,564,24,Light,50.0,0.0,0,0
123,564,24,Pir,30.0,0.0,0,0
124,564,24,Temperature,24.31,21.68,0,0
125,621,25,co2,699.0,389.0,0,0
126,621,25,Humidity,64.0,48.19,0,0
127,621,25,Light,172.0,0.0,0,0
128,621,25,Pir,30.0,0.0,0,0
129,621,25,Temperature,26.35,24.32,0,0
130,621A,26,co2,659.0,310.0,0,0
131,621A,26,Humidity,68.21,54.73,0,0
132,621A,26,Light,313.0,0.0,0,0
133,621A,26,Pir,30.0,0.0,0,0
134,621A,26,Temperature,22.94,20.53,0,0
135,621C,27,co2,892.0,375.0,0,0
136,621C,27,Humidity,65.15,49.03,0,0
137,621C,27,Light,642.0,0.0,0,0
138,621C,27,Pir,30.0,0.0,0,0
139,621C,27,Temperature,24.93,21.2,0,0
140,621D,28,co2,1184.0,427.0,0,0
141,621D,28,Humidity,63.68,48.35,0,0
142,621D,28,Light,678.0,0.0,0,0
143,621D,28,Pir,0.0,0.0,0,0
144,621D,28,Temperature,25.02,21.57,0,0
145,621E,29,co2,1018.0,415.0,0,0
146,621E,29,Humidity,71.41,52.68,0,0
147,621E,29,Light,22990.0,2.0,1,0
148,621E,29,Pir,30.0,0.0,0,0
149,621E,29,Temperature,24.54,21.12,0,0
150,640,30,co2,588.0,355.0,0,0
151,640,30,Humidity,63.82,48.58,0,0
152,640,30,Light,41.0,0.0,0,0
153,640,30,Pir,30.0,0.0,0,0
154,640,30,Temperature,25.54,21.46,0,0
155,644,31,co2,612.0,391.0,0,0
156,644,31,Humidity,62.75,52.18,0,0
157,644,31,Light,330.0,0.0,0,0
158,644,31,Pir,30.0,0.0,0,0
159,644,31,Temperature,25.36,21.79,0,0
160,648,32,co2,618.0,46.0,0,0
161,648,32,Humidity,61.28,47.54,0,0
162,648,32,Light,336.0,0.0,0,0
163,648,32,Pir,30.0,0.0,0,0
164,648,32,Temperature,27.12,21.79,0,0
165,656A,33,co2,920.0,391.0,0,0
166,656A,33,Humidity,62.18,-4.0,0,1
167,656A,33,Light,273.0,0.0,0,0
168,656A,33,Pir,30.0,0.0,0,0
169,656A,33,Temperature,25.68,-40.1,0,1
170,656B,34,co2,744.0,377.0,0,0
171,656B,34,Humidity,58.02,44.38,0,0
172,656B,34,Light,152.0,0.0,0,0
173,656B,34,Pir,30.0,0.0,0,0
174,656B,34,Temperature,27.1,22.67,0,0
175,664,35,co2,996.0,273.0,0,0
176,664,35,Humidity,59.49,49.68,0,0
177,664,35,Light,37.0,0.0,0,0
178,664,35,Pir,30.0,0.0,0,0
179,664,35,Temperature,25.64,22.61,0,0
180,666,36,co2,546.0,357.0,0,0
181,666,36,Humidity,63.35,46.79,0,0
182,666,36,Light,400.0,0.0,0,0
183,666,36,Pir,30.0,0.0,0,0
184,666,36,Temperature,26.37,21.6,0,0
185,668,37,co2,560.0,281.0,0,0
186,668,37,Humidity,66.15,47.21,0,0
187,668,37,Light,2402.0,1924.0,0,0
188,668,37,Pir,30.0,0.0,0,0
189,668,37,Temperature,26.19,20.76,0,0
190,717,38,co2,510.0,329.0,0,0
191,717,38,Humidity,62.78,49.68,0,0
192,717,38,Light,22809.0,0.0,1,0
193,717,38,Pir,0.0,0.0,0,0
194,717,38,Temperature,24.29,21.54,0,0
195,719,39,co2,870.0,365.0,0,0
196,719,39,Humidity,64.09,50.19,0,0
197,719,39,Light,913.0,0.0,0,0
198,719,39,Pir,30.0,0.0,0,0
199,719,39,Temperature,24.36,21.34,0,0
200,721,40,co2,538.0,264.0,0,0
201,721,40,Humidity,64.18,50.13,0,0
202,721,40,Light,752.0,0.0,0,0
203,721,40,Pir,30.0,0.0,0,0
204,721,40,Temperature,23.75,20.17,0,0
205,722,41,co2,809.0,291.0,0,0
206,722,41,Humidity,57.35,48.84,0,0
207,722,41,Light,51.0,0.0,0,0
208,722,41,Pir,30.0,0.0,0,0
209,722,41,Temperature,24.15,22.38,0,0
210,723,42,co2,506.0,341.0,0,0
211,723,42,Humidity,66.79,-500.96,0,1
212,723,42,Light,30551.0,0.0,1,0
213,723,42,Pir,30.0,0.0,0,0
214,723,42,Temperature,265.73,20.91,1,0
215,724,43,co2,399.0,155.0,0,0
216,724,43,Humidity,60.22,50.19,0,0
217,724,43,Light,22895.0,0.0,1,0
218,724,43,Pir,30.0,0.0,0,0
219,724,43,Temperature,23.79,22.9,0,0
220,726,44,co2,530.0,331.0,0,0
221,726,44,Humidity,56.45,48.06,0,0
222,726,44,Light,49.0,0.0,0,0
223,726,44,Pir,30.0,0.0,0,0
224,726,44,Temperature,24.56,23.68,0,0
225,734,45,co2,786.0,267.0,0,0
226,734,45,Humidity,59.98,45.04,0,0
227,734,45,Light,695.0,0.0,0,0
228,734,45,Pir,30.0,0.0,0,0
229,734,45,Temperature,27.56,22.05,0,0
230,746,46,co2,1034.0,453.0,0,0
231,746,46,Humidity,66.73,52.81,0,0
232,746,46,Light,44.0,0.0,0,0
233,746,46,Pir,30.0,0.0,0,0
234,746,46,Temperature,579.27,20.74,1,0
235,748,47,co2,1215.0,431.0,0,0
236,748,47,Humidity,58.42,49.77,0,0
237,748,47,Light,24.0,0.0,0,0
238,748,47,Pir,30.0,0.0,0,0
239,748,47,Temperature,25.17,22.86,0,0
240,752,48,co2,769.0,361.0,0,0
241,752,48,Humidity,50.58,42.08,0,0
242,752,48,Light,61.0,0.0,0,0
243,752,48,Pir,30.0,0.0,0,0
244,752,48,Temperature,27.01,25.18,0,0
245,754,49,co2,650.0,349.0,0,0
246,754,49,Humidity,60.47,47.54,0,0
247,754,49,Light,102.0,0.0,0,0
248,754,49,Pir,30.0,0.0,0,0
249,754,49,Temperature,26.72,21.99,0,0
250,776,50,co2,963.0,455.0,0,0
251,776,50,Humidity,60.31,48.61,0,0
252,776,50,Light,202.0,0.0,0,0
253,776,50,Pir,30.0,0.0,0,0
254,776,50,Temperature,25.36,21.6,0,0
